"title","artist","album","year","duration"
"Skit","$kinny","Ghetto Disneyland",2014,"0:43"
"Welcome Skit","$kinny","Ghetto Disneyland",2014,"0:28"
"Section 8 (skit)","1 Adoff","The Dopeboyz Motivation",2014,"0:33"
"Friday Night (Skit)","10th Ward Buck","A True Bounce Artist",2005,""
"Im Tity Boi Skit","2 Chainz","Tru Realigion",2011,"0:33"
"The Real University Skit","2 Chainz","Tru Realigion",2011,"1:00"
"Don't Change That Dial... (Intro/Skit)","2 Phat & The Family Funktion","Opening A Can Of Whoop Ass On Ya Moms",2004,"0:21"
"Reclaim Your Infinite Self (Motivational/Skit)","2 Phat & The Family Funktion","Opening A Can Of Whoop Ass On Ya Moms",2004,"0:27"
"Hard To Swallow (Statement/Skit)","2 Phat & The Family Funktion","Opening A Can Of Whoop Ass On Ya Moms",2004,"0:06"
"See Ya Later... (Outro/Skit)","2 Phat & The Family Funktion","Opening A Can Of Whoop Ass On Ya Moms",2004,"0:20"
"Phone (Skit)","2 Pistols","Death Before Dishonor",2008,"0:21"
"Country Skit","2 Real (2)","Free Derrick Jackson Mix Tape Vol. 1",2007,""
"Skit","2 Real (2)","Free Derrick Jackson Mix Tape Vol. 1",2007,""
"Talk That (Skit)","2 Scoops","It's About Time",2010,""
"Wonderful World (Skit)","20-2-Life","Up 4 Parole",0,"2:48"
"Skit 2","26 Hrz","The Real Sac Kingz Mixtape Vol. 1",2008,""
"Skit","26 Hrz","The Real Sac Kingz Mixtape Vol. 1",2008,""
"Up The Block (Skit)","2for5","Broke Minds Think Alike",2004,""
"Skit","2Mex","Sweat Lodge Infinite",2003,"3:15"
"Skit","2Phace","Hurricane Hustla",2001,""
"Confirmation Code ""Skit""","2wice (2)","Wuz Crackulatin' 2000",2000,"0:29"
"KINGS (SKIT)","2WRANG","2WRANGUTAN",2010,"0:07"
"BASEMENT (SKIT)","2WRANG","2WRANGUTAN",2010,"0:17"
"Concert Conversation Skit","3 Way Funk","3 Way Funk",2004,""
"3 Am Voice Mail Skit","3 Way Funk","3 Way Funk",2004,""
"$2 Gangster (Skit)","3-2","The Governor",2001,"1:01"
"Fly Guy (Skit)","3-2","The Governor",2001,"1:27"
"(Skit)","3-2","On Probation",2005,""
"Roach A**Ni**a (Skit)","3-2","The Governor",2001,"1:00"
"Raunchy Hoe (Skit)","3-2","The Governor",2001,"0:41"
"Chocolate Base Skit","33 The Great","Swordsports",2003,""
"The Animal Skit","33 The Great","Swordsports",2003,""
"Pyco Skit","33 The Great","Swordsports",2003,""
"Drama Skit","33 The Great","Swordsports",2003,""
"Skit","337 Villains","I'm A Villain",2001,""
"Skit","3Deep","First 6 Months (The Mixtape)",2008,""
"Intro (Phone Skit)","3rd Degree (3)","Blood Money",2001,""
"P. Punk (Skit)","3rd Degree (9)","Heat",2003,"0:50"
"Skit","3rd Legg","A Man's Pride...A Woman's Pleasure",1997,"1:31"
"Skit","4 Deep","Another Day In The Jungle",1993,"0:54"
"Skit (The Prophecy Is Coming)","4-Trey","Prophecy Of Profits",1999,""
"Skit","40 Cal","Broken Safety 2",2007,""
"Gangsta Bitch (Skit)","40 Glocc","Outspoken Da Mixtape Vol. 1",2006,"0:53"
"Skit / Record Deal","40 Glocc","Outspoken Vol 2 The Mix Tape",2006,""
"Skit / Record Store","40 Glocc","Outspoken Vol 2 The Mix Tape",2006,""
"Skit / Xizibit Phone Call","40 Glocc","Outspoken Vol 2 The Mix Tape",2006,""
"Ducc (Skit)","40 Glocc","Outspoken Da Mixtape Vol. 1",2006,"1:32"
"JFK Skit","40 Glocc","Big Bad 4-0 - New World Agenda",2012,"1:19"
"Baby Lone (Skit)","40 Glocc","Outspoken Da Mixtape Vol. 1",2006,"0:29"
"Skit Tsunami","40 Glocc","Kurupt Presents Tsunami Vol 1",2005,""
"Skit","40 Glocc","The Jakal",2003,"0:08"
"Lu-Dog (Skit)","40 Glocc","Outspoken Da Mixtape Vol. 1",2006,"2:20"
"Skit / Nephew Phone Call","40 Glocc","Outspoken Vol 2 The Mix Tape",2006,""
"The Sad Truth (Skit)","5 Bros. Wit Ugly Clothes","Come Out Ta Play",1994,""
"Intro Skit - Body On It","50 Cent","The Big 10",2012,"4:25"
"Rat Joe (Skit 2)","50 Cent","Elephant In The Sand (G Unit Volume II)",2008,"0:27"
"Skit","50 Cent","G Unit Radio 22 - Hip Hop Is Dead - Verse Two",2006,""
"Skit/Drop","50 Cent","Guess Who's Back?",2002,"0:16"
"Hip Hop Cop (Skit)","50 Cent","Elephant In The Sand (G Unit Volume II)",2008,"0:09"
"Freek Skit Pt. 4","50 Cent","The Freak Tape",2006,"1:42"
"Do U Understand Skit Pt. 2","50 Cent","The Freak Tape",2006,"0:29"
"Scarlet Skit","50 Cent","No Mercy, No Fear",0,"1:20"
"Rat Joe (Skit)","50 Cent","Elephant In The Sand (G Unit Volume II)",2008,"1:35"
"Freek Skit Pt. 1","50 Cent","The Freak Tape",2006,"1:32"
"Do U Understand Skit","50 Cent","The Freak Tape",2006,"1:09"
"Freek Skit Pt. 2","50 Cent","The Freak Tape",2006,"1:38"
"Freek Skit Pt. 3","50 Cent","The Freak Tape",2006,"2:18"
"Outro Skit","50 Cent","The Big 10",2011,"0:37"
"(Porno Skit) ... I Just Wanna","50 Cent","The Big 10",2011,"4:22"
"(South Jamaica Gunshots Skit) ... Body On It","50 Cent","The Big 10",2011,"4:25"
"MTV News Skit","50 Cent","No Mercy, No Fear Collectors Edition",2006,""
